Organism,Groups,Size,Chromosomes,Organelles,Plasmids,Assemblies
Abutilon mosaic Brazil virus,Viruses;Other;Geminiviridae,0.005282,2,0,0,1
Abutilon mosaic virus,Viruses;Other;Geminiviridae,0.005217,2,0,0,1
Abutilon yellows virus,Viruses;Other;Closteroviridae,0.001311,0,0,0,1
Abyssibacter profundi,Bacteria;Proteobacteria;Gammaproteobacteria,3.74151,0,0,0,1
Abyssicoccus albus,Bacteria;Terrabacteria group;Firmicutes,1.79618,0,0,0,1
Acanthamoeba astronyxis,Eukaryota;Protists;Other Protists,83.4325,0,0,0,1
Acanthamoeba castellanii,Eukaryota;Protists;Other Protists,42.0198,0,0,0,3
Acanthamoeba castellanii mamavirus,Viruses;Other;Mimiviridae,1.19169,1,0,0,1
Acanthamoeba castellanii mimivirus,Viruses;Other;Mimiviridae,1.18285,1,0,0,2
Acanthamoeba comandoni,Eukaryota;Protists;Other Protists,86.2147,0,0,0,1
Acanthamoeba culbertsoni,Eukaryota;Protists;Other Protists,55.5438,0,0,0,1
Acanthamoeba divionensis,Eukaryota;Protists;Other Protists,84.7694,0,0,0,1
Acanthamoeba healyi,Eukaryota;Protists;Other Protists,75.3182,0,0,0,1
Acanthamoeba lenticulata,Eukaryota;Protists;Other Protists,75.5694,0,0,0,3
Acanthamoeba lugdunensis,Eukaryota;Protists;Other Protists,99.4171,0,0,0,1
Acanthamoeba mauritaniensis,Eukaryota;Protists;Other Protists,106.836,0,0,0,1
Acanthamoeba palestinensis,Eukaryota;Protists;Other Protists,103.483,0,0,0,1
Acanthamoeba pearcei,Eukaryota;Protists;Other Protists,115.614,0,0,0,1
Acanthamoeba polyphaga,Eukaryota;Protists;Other Protists,49.3537,0,0,0,2
Acanthamoeba polyphaga lentillevirus,Viruses;Other;Mimiviridae,1.19343,1,0,0,1
Acanthamoeba polyphaga mimivirus,Viruses;Other;Mimiviridae,1.25866,1,0,0,10
Acanthamoeba polyphaga moumouvirus,Viruses;Other;Mimiviridae,1.02135,1,0,0,1
Acanthamoeba quina,Eukaryota;Protists;Other Protists,83.589,0,0,0,1
Acanthamoeba rhysodes,Eukaryota;Protists;Other Protists,75.8213,0,0,0,1
Acanthamoeba royreba,Eukaryota;Protists;Other Protists,79.5441,0,0,0,1
Acanthaster planci,Eukaryota;Animals;Other Animals,383.86,0,1,0,3
Acanthisitta chloris,Eukaryota;Animals;Birds,1035.88,0,0,0,1
Acanthochaenus luetkenii,Eukaryota;Animals;Fishes,545.759,0,0,0,1
Acanthocheilonema viteae,Eukaryota;Animals;Roundworms,77.3509,0,0,0,1
Acanthochromis polyacanthus,Eukaryota;Animals;Fishes,991.585,0,0,0,1
Acanthocystis turfacea chlorella virus 1,Viruses;Other;Phycodnaviridae,0.288047,1,0,0,1
Acanthocystis turfacea Chlorella virus Br0604L,Viruses;Other;Phycodnaviridae,0.295545,1,0,0,1
Acanthocystis turfacea Chlorella virus Can0610SP,Viruses;Other;Phycodnaviridae,0.306752,1,0,0,1
Acanthocystis turfacea Chlorella virus Canal-1,Viruses;Other;Phycodnaviridae,0.293004,1,0,0,1
Acanthocystis turfacea Chlorella virus GM0701.1,Viruses;Other;Phycodnaviridae,0.315239,1,0,0,1
Acanthocystis turfacea Chlorella virus MN0810.1,Viruses;Other;Phycodnaviridae,0.327406,1,0,0,1
Acanthocystis turfacea Chlorella virus MO0605SPH,Viruses;Other;Phycodnaviridae,0.289449,1,0,0,1
Acanthocystis turfacea Chlorella virus NE-JV-2,Viruses;Other;Phycodnaviridae,0.319583,1,0,0,1
Acanthocystis turfacea Chlorella virus NE-JV-3,Viruses;Other;Phycodnaviridae,0.298622,1,0,0,1
Acanthocystis turfacea Chlorella virus NTS-1,Viruses;Other;Phycodnaviridae,0.323517,1,0,0,1
Acanthocystis turfacea Chlorella virus OR0704.3,Viruses;Other;Phycodnaviridae,0.311647,1,0,0,1
Acanthocystis turfacea Chlorella virus TN603.4.2,Viruses;Other;Phycodnaviridae,0.32088,1,0,0,1
Acanthocystis turfacea Chlorella virus WI0606,Viruses;Other;Phycodnaviridae,0.289373,1,0,0,1
Acaricomes phytoseiuli,Bacteria;Terrabacteria group;Actinobacteria,2.41952,0,0,0,1
Acaromyces ingoldii,Eukaryota;Fungi;Basidiomycetes,19.3301,0,0,0,1
Acartia tonsa,Eukaryota;Animals;Other Animals,989.164,0,0,0,1
Acartia tonsa copepod circovirus,Viruses;Other;Circoviridae,0.00167,1,0,0,1
Acaryochloris,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,7.87548,0,0,0,2
Acaryochloris marina,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,8.3616,1,0,9,1
Acaryochloris phage A-HIS1,Viruses;Other;Siphoviridae,0.055653,1,0,0,1
Acaryochloris phage A-HIS2,Viruses;Other;Siphoviridae,0.057391,1,0,0,1
Acaulopage tetraceros,Eukaryota;Fungi;Other Fungi,11.1768,0,0,0,1
Accipiter nisus,Eukaryota;Animals;Birds,1190.65,0,0,0,1
Acetanaerobacterium elongatum,Bacteria;Terrabacteria group;Firmicutes,2.91621,0,0,0,1
Acetatifactor muris,Bacteria;Terrabacteria group;Firmicutes,6.01365,0,0,0,1
Acetitomaculum ruminis,Bacteria;Terrabacteria group;Firmicutes,3.08272,0,0,0,1
Acetivibrio ethanolgignens,Bacteria;Terrabacteria group;Firmicutes,3.66025,0,0,0,1
Acetoanaerobium noterae,Bacteria;Terrabacteria group;Firmicutes,2.81423,0,0,0,1
Acetoanaerobium sticklandii,Bacteria;Terrabacteria group;Firmicutes,2.71546,1,0,0,1
Acetobacter,Bacteria;Proteobacteria;Alphaproteobacteria,3.66419,1,0,2,12
Acetobacter aceti,Bacteria;Proteobacteria;Alphaproteobacteria,3.72504,1,0,0,8
Acetobacter ascendens,Bacteria;Proteobacteria;Alphaproteobacteria,2.99922,1,0,3,3
Acetobacter cerevisiae,Bacteria;Proteobacteria;Alphaproteobacteria,3.32358,0,0,0,3
Acetobacter cibinongensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.10509,0,0,0,3
Acetobacter fabarum,Bacteria;Proteobacteria;Alphaproteobacteria,3.09543,0,0,0,2
Acetobacter ghanensis,Bacteria;Proteobacteria;Alphaproteobacteria,2.84394,1,0,2,1
Acetobacter indonesiensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.41677,0,0,0,4
Acetobacter malorum,Bacteria;Proteobacteria;Alphaproteobacteria,4.03941,0,0,0,7
Acetobacter nitrogenifigens,Bacteria;Proteobacteria;Alphaproteobacteria,4.27052,0,0,0,2
Acetobacter oeni,Bacteria;Proteobacteria;Alphaproteobacteria,4.06347,0,0,0,1
Acetobacter okinawensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.16624,0,0,0,2
Acetobacter orientalis,Bacteria;Proteobacteria;Alphaproteobacteria,2.9106900000000002,0,0,0,7
Acetobacter orleanensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.01364,0,0,0,4
Acetobacter oryzifermentans,Bacteria;Proteobacteria;Alphaproteobacteria,3.12745,1,0,3,2
Acetobacter papayae,Bacteria;Proteobacteria;Alphaproteobacteria,3.04108,0,0,0,1
Acetobacter pasteurianus,Bacteria;Proteobacteria;Alphaproteobacteria,3.76598,1,0,3,29
Acetobacter peroxydans,Bacteria;Proteobacteria;Alphaproteobacteria,2.71279,0,0,0,2
Acetobacter persici,Bacteria;Proteobacteria;Alphaproteobacteria,3.75668,1,0,1,3
Acetobacter pomorum,Bacteria;Proteobacteria;Alphaproteobacteria,3.33212,1,0,2,5
Acetobacter senegalensis,Bacteria;Proteobacteria;Alphaproteobacteria,3.96991,1,0,1,3
Acetobacter syzygii,Bacteria;Proteobacteria;Alphaproteobacteria,2.97425,0,0,0,6
Acetobacter tropicalis,Bacteria;Proteobacteria;Alphaproteobacteria,4.13966,1,0,1,8
Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,7.74829,1,0,1,19
Acetobacteraceae bacterium AT-5844,Bacteria;Proteobacteria;Alphaproteobacteria,5.19055,0,0,0,1
Acetobacteraceae bacterium DB1506,Bacteria;Proteobacteria;Alphaproteobacteria,5.82308,0,0,0,1
Acetobacteraceae bacterium KEBCLARHB70R,Bacteria;Proteobacteria;Alphaproteobacteria,4.78811,0,0,0,1
Acetobacteraceae bacterium SCN 69-10,Bacteria;Proteobacteria;Alphaproteobacteria,2.10074,0,0,0,1
Acetobacteraceae bacterium UBA6159,Bacteria;Proteobacteria;Alphaproteobacteria,4.62817,0,0,0,1
Acetobacterium,Bacteria;Terrabacteria group;Firmicutes,3.98837,1,0,0,6
Acetobacterium bakii,Bacteria;Terrabacteria group;Firmicutes,4.13563,0,0,0,4
Acetobacterium dehalogenans,Bacteria;Terrabacteria group;Firmicutes,4.05007,0,0,0,1
Acetobacterium paludosum,Bacteria;Terrabacteria group;Firmicutes,3.69113,0,0,0,1
Acetobacterium tundrae,Bacteria;Terrabacteria group;Firmicutes,3.56308,0,0,0,1
Acetobacterium wieringae,Bacteria;Terrabacteria group;Firmicutes,3.89583,0,0,0,2
Acetobacterium woodii,Bacteria;Terrabacteria group;Firmicutes,4.04478,1,0,0,1
Acetobacteroides hydrogenigenes,Bacteria;FCB group;Bacteroidetes/Chlorobi group,3.8611,0,0,0,1
Acetohalobium arabaticum,Bacteria;Terrabacteria group;Firmicutes,2.4696,1,0,0,1
Acetomicrobium,Bacteria;Synergistetes;Synergistia,1.98275,0,0,0,2
Acetomicrobium flavidum,Bacteria;Synergistetes;Synergistia,2.0217,0,0,0,1
Acetomicrobium hydrogeniformans,Bacteria;Synergistetes;Synergistia,2.12392,0,0,0,1
Acetomicrobium mobile,Bacteria;Synergistetes;Synergistia,2.1607,1,0,0,1
Acetomicrobium thermoterrenum,Bacteria;Synergistetes;Synergistia,1.96758,0,0,0,1
Acetonema longum,Bacteria;Terrabacteria group;Firmicutes,4.32301,0,0,0,1
Acetothermia bacterium 64_32,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.8102,0,0,0,1
Acetothermia bacterium SCGC AAA255-C06,Bacteria;unclassified Bacteria;Bacteria candidate phyla,0.669384,0,0,0,1
Acetothermia bacterium UBA2187,Bacteria;unclassified Bacteria;Bacteria candidate phyla,0.930847,0,0,0,1
Acetothermia bacterium UBA3560,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.87253,0,0,0,1
Acetothermia bacterium UBA3563,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.51927,0,0,0,1
Acetothermia bacterium UBA3564,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.49784,0,0,0,1
Acetothermia bacterium UBA3565,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.83394,0,0,0,1
Acetothermia bacterium UBA3571,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.84257,0,0,0,1
Acetothermia bacterium UBA3574,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.57678,0,0,0,1
Acetothermia bacterium UBA4777,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.15066,0,0,0,1
Acetothermia bacterium UBA4801,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.7278,0,0,0,1
Acetothermia bacterium UBA7521,Bacteria;unclassified Bacteria;Bacteria candidate phyla,1.79071,0,0,0,1
Acheta domestica densovirus,Viruses;Other;Parvoviridae,0.005425,1,0,0,2
Acheta domestica mini ambidensovirus,Viruses;Other;Parvoviridae,0.004945,1,0,0,1
Acheta domesticus volvovirus,Viruses;unclassified viruses;unclassified,0.002517,1,0,0,1
Achimota virus 1,Viruses;Other;Paramyxoviridae,0.015624,1,0,0,1
Achimota virus 2,Viruses;Other;Paramyxoviridae,0.015504,1,0,0,1
Achipteria coleoptrata,Eukaryota;Animals;Other Animals,88.4439,0,0,0,1
Achlya hypogyna,Eukaryota;Protists;Other Protists,43.3985,0,0,0,1
Acholeplasma,Bacteria;Terrabacteria group;Tenericutes,1.7213,0,0,0,2
Acholeplasma axanthum,Bacteria;Terrabacteria group;Tenericutes,1.80712,0,0,0,2
Acholeplasma brassicae,Bacteria;Terrabacteria group;Tenericutes,1.87779,1,0,0,1
Acholeplasma equifetale,Bacteria;Terrabacteria group;Tenericutes,1.28237,0,0,0,1
Acholeplasma granularum,Bacteria;Terrabacteria group;Tenericutes,1.45354,0,0,0,1
Acholeplasma hippikon,Bacteria;Terrabacteria group;Tenericutes,1.43045,0,0,0,2
Acholeplasma laidlawii,Bacteria;Terrabacteria group;Tenericutes,1.49699,1,0,0,11
Acholeplasma modicum,Bacteria;Terrabacteria group;Tenericutes,1.21918,0,0,0,1
Acholeplasma multilocale,Bacteria;Terrabacteria group;Tenericutes,0.924993,0,0,0,1
Acholeplasma oculi,Bacteria;Terrabacteria group;Tenericutes,1.58712,1,0,0,3
Acholeplasma palmae,Bacteria;Terrabacteria group;Tenericutes,1.55423,1,0,0,1
Acholeplasma virus L2,Viruses;Other;Plasmaviridae,0.011965,1,0,0,1
Acholeplasma virus L51,Viruses;Other;Inoviridae,0.004491,1,0,0,1
Acholeplasmataceae bacterium,Bacteria;Terrabacteria group;Tenericutes,2.19606,0,0,0,11
Acholeplasmataceae bacterium UBA2284,Bacteria;Terrabacteria group;Tenericutes,1.53008,0,0,0,1
Acholeplasmataceae bacterium UBA4853,Bacteria;Terrabacteria group;Tenericutes,1.44715,0,0,0,1
Acholeplasmataceae bacterium UBA4870,Bacteria;Terrabacteria group;Tenericutes,1.17805,0,0,0,1
Acholeplasmataceae bacterium UBA4904,Bacteria;Terrabacteria group;Tenericutes,1.19007,0,0,0,1
Acholeplasmataceae bacterium UBA4950,Bacteria;Terrabacteria group;Tenericutes,1.28065,0,0,0,1
Acholeplasmataceae bacterium UBA5000,Bacteria;Terrabacteria group;Tenericutes,1.13567,0,0,0,1
Acholeplasmataceae bacterium UBA5222,Bacteria;Terrabacteria group;Tenericutes,1.14766,0,0,0,1
Acholeplasmataceae bacterium UBA5250,Bacteria;Terrabacteria group;Tenericutes,1.23054,0,0,0,1
Acholeplasmataceae bacterium UBA5264,Bacteria;Terrabacteria group;Tenericutes,1.15898,0,0,0,1
Acholeplasmataceae bacterium UBA5282,Bacteria;Terrabacteria group;Tenericutes,1.25103,0,0,0,1
Acholeplasmataceae bacterium UBA5354,Bacteria;Terrabacteria group;Tenericutes,1.10042,0,0,0,1
Acholeplasmataceae bacterium UBA5386,Bacteria;Terrabacteria group;Tenericutes,1.09662,0,0,0,1
Acholeplasmataceae bacterium UBA5409,Bacteria;Terrabacteria group;Tenericutes,1.29511,0,0,0,1
Acholeplasmataceae bacterium UBA5430,Bacteria;Terrabacteria group;Tenericutes,1.16703,0,0,0,1
Acholeplasmataceae bacterium UBA5453,Bacteria;Terrabacteria group;Tenericutes,0.998003,0,0,0,1
Acholeplasmataceae bacterium UBA5468,Bacteria;Terrabacteria group;Tenericutes,1.27505,0,0,0,1
Acholeplasmataceae bacterium UBA5491,Bacteria;Terrabacteria group;Tenericutes,1.27951,0,0,0,1
Acholeplasmataceae bacterium UBA5617,Bacteria;Terrabacteria group;Tenericutes,1.50177,0,0,0,1
Acholeplasmataceae bacterium UBA5635,Bacteria;Terrabacteria group;Tenericutes,1.59563,0,0,0,1
Acholeplasmataceae bacterium UBA5769,Bacteria;Terrabacteria group;Tenericutes,1.76018,0,0,0,1
Acholeplasmataceae bacterium UBA6150,Bacteria;Terrabacteria group;Tenericutes,1.2855,0,0,0,1
Acholeplasmataceae bacterium UBA6181,Bacteria;Terrabacteria group;Tenericutes,1.36058,0,0,0,1
Acholeplasmataceae bacterium UBA6190,Bacteria;Terrabacteria group;Tenericutes,1.67015,0,0,0,1
Acholeplasmataceae bacterium UBA6235,Bacteria;Terrabacteria group;Tenericutes,1.63881,0,0,0,1
Acholeplasmataceae bacterium UBA7643,Bacteria;Terrabacteria group;Tenericutes,1.23828,0,0,0,1
Acholeplasmatales bacterium,Bacteria;Terrabacteria group;Tenericutes,1.85943,0,0,0,7
Acholeplasmatales bacterium DTU056,Bacteria;Terrabacteria group;Tenericutes,1.20785,0,0,0,1
Acholeplasmatales bacterium DTU067,Bacteria;Terrabacteria group;Tenericutes,1.46914,0,0,0,2
Acholeplasmatales bacterium Tener_01,Bacteria;Terrabacteria group;Tenericutes,0.885702,0,0,0,1
Achromatium,Bacteria;Proteobacteria;Gammaproteobacteria,3.8456,0,0,0,3
Achromobacter,Bacteria;Proteobacteria;Betaproteobacteria,7.35207,1,0,0,41
Achromobacter aegrifaciens,Bacteria;Proteobacteria;Betaproteobacteria,6.94902,0,0,0,1
Achromobacter agilis,Bacteria;Proteobacteria;Betaproteobacteria,6.37648,0,0,0,1
Achromobacter aloeverae,Bacteria;Proteobacteria;Betaproteobacteria,6.49216,0,0,0,1
Achromobacter arsenitoxydans,Bacteria;Proteobacteria;Betaproteobacteria,6.15666,0,0,0,1
Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,7.09044,1,0,0,10
Achromobacter dolens,Bacteria;Proteobacteria;Betaproteobacteria,6.32226,0,0,0,2
Achromobacter insolitus,Bacteria;Proteobacteria;Betaproteobacteria,6.89304,1,0,0,11
Achromobacter insuavis,Bacteria;Proteobacteria;Betaproteobacteria,6.89142,0,0,0,2
Achromobacter marplatensis,Bacteria;Proteobacteria;Betaproteobacteria,6.8922,0,0,0,3
Achromobacter mucicolens,Bacteria;Proteobacteria;Betaproteobacteria,5.85635,0,0,0,1
Achromobacter phage 83-24,Viruses;Other;Siphoviridae,0.048216,1,0,0,1
Achromobacter phage JWAlpha,Viruses;Other;Podoviridae,0.072329,1,0,0,1
Achromobacter phage JWDelta,Viruses;Other;Podoviridae,0.073659,1,0,0,1
Achromobacter phage JWF,Viruses;Other;Siphoviridae,0.081541,1,0,0,1
Achromobacter phage JWX,Viruses;Other;Siphoviridae,0.049714,1,0,0,1
Achromobacter phage Motura,Viruses;Other;Myoviridae,0.221431,1,0,0,1
Achromobacter phage phiAxp-1,Viruses;Other;Siphoviridae,0.045045,1,0,0,1
Achromobacter phage phiAxp-2,Viruses;Other;Siphoviridae,0.06222,1,0,0,1
Achromobacter phage phiAxp-3,Viruses;Other;Podoviridae,0.072825,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy04,Viruses;Other;Podoviridae,0.073834,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy09,Viruses;Other;Podoviridae,0.043287,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy10,Viruses;Other;Podoviridae,0.073898,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy11,Viruses;Other;Podoviridae,0.073413,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy12,Viruses;Other;Podoviridae,0.074096,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy13,Viruses;Other;Podoviridae,0.070103,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy21,Viruses;Other;Podoviridae,0.043049,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy22,Viruses;Other;Podoviridae,0.07171,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy23,Viruses;Other;Podoviridae,0.043773,1,0,0,1
Achromobacter phage vB_AxyP_19-32_Axy24,Viruses;Other;Podoviridae,0.074744,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy06,Viruses;Other;Siphoviridae,0.04583,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy14,Viruses;Other;Siphoviridae,0.046703,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy16,Viruses;Other;Siphoviridae,0.046178,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy18,Viruses;Other;Siphoviridae,0.0455,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy19,Viruses;Other;Siphoviridae,0.046036,1,0,0,1
Achromobacter phage vB_AxyS_19-32_Axy20,Viruses;Other;Siphoviridae,0.046352,1,0,0,1
Achromobacter piechaudii,Bacteria;Proteobacteria;Betaproteobacteria,6.32219,0,0,0,3
Achromobacter pulmonis,Bacteria;Proteobacteria;Betaproteobacteria,6.94355,0,0,0,1
Achromobacter ruhlandii,Bacteria;Proteobacteria;Betaproteobacteria,6.68653,1,0,0,7
Achromobacter spanius,Bacteria;Proteobacteria;Betaproteobacteria,6.68782,1,0,0,6
Achromobacter xylosoxidans,Bacteria;Proteobacteria;Betaproteobacteria,6.81318,1,0,0,68
Aciculoconidium aculeatum,Eukaryota;Fungi;Ascomycetes,18.235,0,0,0,1
Aciculosporium take,Eukaryota;Fungi;Ascomycetes,58.8364,0,0,0,1
Acidaminobacter hydrogenoformans,Bacteria;Terrabacteria group;Firmicutes,3.61561,0,0,0,1
Acidaminococcaceae bacterium,Bacteria;Terrabacteria group;Firmicutes,1.54709,0,0,0,5
Acidaminococcaceae bacterium UBA2453,Bacteria;Terrabacteria group;Firmicutes,1.8056,0,0,0,1
Acidaminococcaceae bacterium UBA2812,Bacteria;Terrabacteria group;Firmicutes,1.92758,0,0,0,1
Acidaminococcaceae bacterium UBA2842,Bacteria;Terrabacteria group;Firmicutes,1.97782,0,0,0,1
Acidaminococcaceae bacterium UBA2873,Bacteria;Terrabacteria group;Firmicutes,1.97075,0,0,0,1
Acidaminococcaceae bacterium UBA7746,Bacteria;Terrabacteria group;Firmicutes,2.00075,0,0,0,1
Acidaminococcus,Bacteria;Terrabacteria group;Firmicutes,2.63097,0,0,0,16
Acidaminococcus fermentans,Bacteria;Terrabacteria group;Firmicutes,2.32977,1,0,0,7
Acidaminococcus intestini,Bacteria;Terrabacteria group;Firmicutes,2.48777,1,0,0,3
Acidaminococcus intestini CAG:325,Bacteria;Terrabacteria group;Firmicutes,2.16158,0,0,0,1
Acidaminococcus massiliensis,Bacteria;Terrabacteria group;Firmicutes,2.67,0,0,0,1
Acidaminococcus provencensis,Bacteria;Terrabacteria group;Firmicutes,2.60549,0,0,0,1
Acidaminococcus timonensis,Bacteria;Terrabacteria group;Firmicutes,2.29706,0,0,0,1
Acidianus bottle-shaped virus,Viruses;Other;Ampullaviridae,0.023814,1,0,0,1
Acidianus bottle-shaped virus 2,Viruses;Other;Ampullaviridae,0.022613,1,0,0,1
Acidianus bottle-shaped virus 3,Viruses;Other;Ampullaviridae,0.028489,1,0,0,1
Acidianus brierleyi,Archaea;TACK group;Crenarchaeota,2.94716,1,0,0,1
Acidianus filamentous virus 1,Viruses;Other;Lipothrixviridae,0.020869,1,0,0,1
Acidianus filamentous virus 2,Viruses;Other;Lipothrixviridae,0.031787,1,0,0,1
Acidianus filamentous virus 3,Viruses;Other;Lipothrixviridae,0.040449,1,0,0,1
Acidianus filamentous virus 6,Viruses;Other;Lipothrixviridae,0.039577,1,0,0,1
Acidianus filamentous virus 7,Viruses;Other;Lipothrixviridae,0.036895,1,0,0,1
Acidianus filamentous virus 8,Viruses;Other;Lipothrixviridae,0.038179,1,0,0,1
Acidianus filamentous virus 9,Viruses;Other;Lipothrixviridae,0.041172,1,0,0,1
Acidianus hospitalis,Archaea;TACK group;Crenarchaeota,2.13765,1,0,0,2
Acidianus manzaensis,Archaea;TACK group;Crenarchaeota,2.68746,1,0,0,1
Acidianus rod-shaped virus 1,Viruses;Other;Rudiviridae,0.024655,1,0,0,1
Acidianus rod-shaped virus 2,Viruses;Other;Rudiviridae,0.029763,1,0,0,1
Acidianus spindle-shaped virus 1,Viruses;Other;Fuselloviridae,0.024186,1,0,0,1
Acidianus sulfidivorans,Archaea;TACK group;Crenarchaeota,2.28708,1,0,0,1
Acidianus tailed spindle virus,Viruses;Other;Bicaudaviridae,0.070812,1,0,0,1
Acidianus two-tailed virus,Viruses;Other;Bicaudaviridae,0.06273,1,0,0,1
Acidianus two-tailed virus 2,Viruses;Other;Bicaudaviridae,0.0579,1,0,0,1
Acidianus two-tailed virus variant 1,Viruses;Other;Bicaudaviridae,0.061783,1,0,0,1
Acidibacillus ferrooxidans,Bacteria;Terrabacteria group;Firmicutes,3.03443,0,0,0,4
Acidibacillus sulfuroxidans,Bacteria;Terrabacteria group;Firmicutes,2.87373,0,0,0,1
Acidibrevibacterium fodinaquatile,Bacteria;Proteobacteria;Alphaproteobacteria,4.03761,1,0,3,1
Acidicaldus organivorans,Bacteria;Proteobacteria;Alphaproteobacteria,2.98963,0,0,0,1
Acidiferrobacter,Bacteria;Proteobacteria;Gammaproteobacteria,3.3984,1,0,0,3
Acidiferrobacter thiooxydans,Bacteria;Proteobacteria;Gammaproteobacteria,3.25282,0,0,0,2
Acidiferrobacteraceae bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,3.50956,0,0,0,19
Acidiferrobacterales bacterium,Bacteria;Proteobacteria;Gammaproteobacteria,0.731358,0,0,0,1
Acidihalobacter ferrooxidans,Bacteria;Proteobacteria;Gammaproteobacteria,3.44883,1,0,0,1
Acidihalobacter prosperus,Bacteria;Proteobacteria;Gammaproteobacteria,3.5669400000000002,0,0,0,3
Acidilobaceae archaeon UBA158,Archaea;TACK group;Crenarchaeota,1.46594,0,0,0,1
Acidilobaceae archaeon UBA162,Archaea;TACK group;Crenarchaeota,1.14774,0,0,0,1
Acidilobus,Archaea;TACK group;Crenarchaeota,1.54851,1,0,0,7
Acidilobus saccharovorans,Archaea;TACK group;Crenarchaeota,1.49645,1,0,0,1
Acidimicrobiaceae bacterium,Bacteria;Terrabacteria group;Actinobacteria,6.92735,0,0,0,404
